name,description_text,image_url,type,subtype,rarity,quality,source,source_creature,harvest_method,harvest_difficulty,required_tool,processing,uses,properties,magical_properties,market_value,weight,unit,stack_size,durability,combinations,storage_conditions,preservation_time,crafting_bonus,lore,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
Lait de Vache Frais,Lait blanc crémeux fraîchement trait.,,autre,,Commun,Bonne,Vaches laitières,,,Moyen,,,,,,0.5,1 litre,pièce,,,,Au frais,3 jours,,,,68e2973d62ee4dfd14fa1c04,2025-10-05T16:05:17.746000,2025-10-05T16:05:17.746000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Crème Fraîche Épaisse,Crème onctueuse et riche. Flotte sur le café.,,autre,,Commun,Bonne,Lait de vache,,,Moyen,,,,,,1,200ml,pièce,,,,Au frais,1 semaine,,,,68e2973d62ee4dfd14fa1c05,2025-10-05T16:05:17.746000,2025-10-05T16:05:17.746000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Rhum des Pirates,Alcool fort ambré distillé de canne à sucre. Corsé et capiteux.,,autre,,Peu commun,Bonne,Distilleries côtières,,,Moyen,,,,,,5,750ml,pièce,,,,À l'abri de la lumière,Indéfini,,,,68e2973d62ee4dfd14fa1c06,2025-10-05T16:05:17.746000,2025-10-05T16:05:17.746000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Vodka de Glace,Alcool neutre cristallin. Distillé dans les terres du Nord.,,autre,,Commun,Moyenne,Distilleries nordiques,,,Moyen,,,,,,3,750ml,pièce,,,,Température ambiante,Indéfini,,,,68e2973d62ee4dfd14fa1c07,2025-10-05T16:05:17.746000,2025-10-05T16:05:17.746000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Levure de Brasseur,Micro-organismes vivants qui transforment les sucres en alcool.,,autre,,Commun,Bonne,Brasseries,,,Moyen,,,,,,1,50g,pièce,,,,Au frais et au sec,6 mois,,,,68e2973d62ee4dfd14fa1c08,2025-10-05T16:05:17.746000,2025-10-05T16:05:17.746000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Glace Magique,Glace qui ne fond jamais. Créée par magie élémentaire.,,autre,,Rare,Exceptionnelle,Plans élémentaires de glace,,,Moyen,,,,,Refroidit sans fondre,10,Variable,pièce,,,,Aucune,Infini,,,,68e2973d62ee4dfd14fa1c09,2025-10-05T16:05:17.746000,2025-10-05T16:05:17.746000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sirop d'Érable,Sève d'érable concentrée. Sucré et ambré.,,autre,,Peu commun,Excellente,Érables nordiques,,,Moyen,,,,,,8,250ml,pièce,,,,Au frais après ouverture,1 an,,,,68e2973d62ee4dfd14fa1c0a,2025-10-05T16:05:17.746000,2025-10-05T16:05:17.746000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Fromage Frais de Chèvre,Fromage blanc crémeux et doux. Fraîchement fait.,,autre,,Commun,Bonne,Lait de chèvre,,Fabrication fromagère simple,Facile,,,,,,2,200g,pièce,,,,Au frais,1 semaine,,,,68e295d4d669d09f29993ccc,2025-10-05T15:59:16.660000,2025-10-05T15:59:16.660000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pain de Campagne,Pain rustique croustillant. Cuit au four à bois.,,autre,,Commun,Moyenne,Boulangerie,,,Moyen,,,,,,0.5,800g,pièce,,,,Température ambiante,3 jours,,,,68e295d4d669d09f29993ccd,2025-10-05T15:59:16.660000,2025-10-05T15:59:16.660000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Œufs Frais (6),Œufs de poule fraîchement pondus. Polyvalents.,,autre,,Commun,Bonne,Poules,,,Moyen,,,,,,0.6,360g,pièce,,,,Au frais,3 semaines,,,,68e295d4d669d09f29993cce,2025-10-05T15:59:16.660000,2025-10-05T15:59:16.660000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
