name,description,higher_level,level,school,casting_time,range,components,duration,ritual,classes,id,created_date,updated_date,created_by_id,created_by,is_sample
Nuée de météores,Des orbes de feu flamboyants s'abattent au sol en quatre points différents à portée. Chaque créature dans une sphère de 12 mètres de rayon centrée sur un point subit 20d6 dégâts de feu et 20d6 dégâts contondants (jet de Dex pour moitié).,,9,Évocation,1 action,"1,5 kilomètre",,Instantanée,,,68e136fff5cb8ce86c3117d8,2025-10-04T15:02:23.686000,2025-10-04T15:02:23.686000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Mot de pouvoir mortel,"Vous prononcez un mot de pouvoir qui peut forcer une créature visible à portée à mourir instantanément. Si la créature que vous choisissez a 100 points de vie ou moins, elle meurt. Sinon, le sort n'a aucun effet.",,9,Enchantement,1 action,18 mètres,,Instantanée,,,68e136fff5cb8ce86c3117db,2025-10-04T15:02:23.686000,2025-10-04T15:02:23.686000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Emprisonnement,"Vous créez une contrainte magique pour retenir une créature visible à portée. La cible doit réussir un jet de Sagesse ou être liée par le sort. Choisissez entre ensevelissement, enchaînement, prison hedronique, mise en sommeil minimum ou mise en stase. Seul un sort de souhait peut libérer la cible.",,9,Abjuration,1 minute,9 mètres,,Jusqu'à dissipation,,,68e136fff5cb8ce86c3117de,2025-10-04T15:02:23.686000,2025-10-04T15:02:23.686000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Portail,"Vous invoquez un portail reliant un espace inoccupé que vous voyez à portée à un lieu précis sur un autre plan d'existence. Le portail est une ouverture circulaire de 1,50 à 6 mètres de diamètre. Vous pouvez également nommer une créature pour l'invoquer à travers le portail.",,9,Conjuration,1 action,18 mètres,,"Concentration, 1 minute",,,68e136fff5cb8ce86c3117dc,2025-10-04T15:02:23.686000,2025-10-04T15:02:23.686000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Dominer un monstre,Vous tentez d'ensorceler une créature visible à portée. Elle doit réussir un jet de Sagesse ou être charmée. Vous avez un lien télépathique avec elle tant qu'elle est sur le même plan que vous. Vous pouvez donner des ordres à la créature.,La durée augmente à 8 heures (9e niveau).,8,Enchantement,1 action,18 mètres,,"Concentration, 1 heure",,,68e136fff5cb8ce86c3117d6,2025-10-04T15:02:23.686000,2025-10-04T15:02:23.686000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Projection astrale,"Vous et jusqu'à huit créatures consentantes projetez vos corps astraux sur le Plan Astral. Vos corps matériels restent en transe. Votre forme astrale peut voyager librement sur le Plan Astral et peut entrer dans d'autres plans via des portails. Si le cordon argenté est coupé, vous mourez.",,9,Nécromancie,1 heure,3 mètres,,Spécial,,,68e136fff5cb8ce86c3117dd,2025-10-04T15:02:23.686000,2025-10-04T15:02:23.686000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Mot de pouvoir étourdissant,"Vous prononcez un mot de pouvoir qui étourdit une créature visible à portée. Si la créature a 150 points de vie ou moins, elle est étourdie. Sinon, le sort n'a aucun effet. La créature étourdie doit faire un jet de Constitution à la fin de chacun de ses tours.",,8,Enchantement,1 action,18 mètres,,Instantanée,,,68e136fff5cb8ce86c3117d7,2025-10-04T15:02:23.686000,2025-10-04T15:02:23.686000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Doigt de mort,"Vous envoyez de l'énergie négative vers une créature visible à portée. La cible doit faire un jet de Constitution. Elle subit 7d8+30 dégâts nécrotiques en cas d'échec, la moitié en cas de réussite. Un humanoïde tué par ce sort se relève comme un zombie sous votre contrôle.",,7,Nécromancie,1 action,18 mètres,,Instantanée,,,68e136fff5cb8ce86c3117d1,2025-10-04T15:02:23.686000,2025-10-04T15:02:23.686000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Souhait,"Le sort le plus puissant qu'un mortel puisse lancer. En exprimant votre désir à voix haute, vous pouvez altérer les fondements de la réalité. L'utilisation la plus sûre est de dupliquer un sort de niveau 8 ou inférieur. Vous pouvez également créer des effets plus puissants au risque de ne plus jamais pouvoir lancer ce sort.",,9,Conjuration,1 action,Personnelle,,Instantanée,,,68e136fff5cb8ce86c3117da,2025-10-04T15:02:23.686000,2025-10-04T15:02:23.686000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Clone,"Vous créez un double inerte d'une créature vivante pour servir de sauvegarde contre la mort. Le clone se développe en 120 jours. Si la créature originale meurt, son âme se transfère dans le clone, qui est physiquement identique mais possède sa personnalité, ses souvenirs et ses capacités.",,8,Nécromancie,1 heure,Contact,,Instantanée,,,68e136fff5cb8ce86c3117d5,2025-10-04T15:02:23.686000,2025-10-04T15:02:23.686000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
