name,description_text,image_url,type,rarity,quality,market_value,weight,materials,crafting_time,crafting_skill,durability,special_properties,history,creator,uses,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
Papier (feuille),"Feuille de papier, moins cher que le parchemin.",,Outil,Commun,Moyenne,0.2,0.01 kg,Fibres végétales,1 jour,Papeterie (DC 10),Très fragile,,,,,"Plus moderne que le parchemin, pas toujours disponible.",68e28b3145e71d2ae9f35667,2025-10-05T15:13:53.529000,2025-10-05T15:13:53.529000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Symbole sacré - Bois,Symbole religieux sculpté dans le bois.,,Religieux,Commun,Moyenne,5,0.5 kg,Bois sculpté,2 jours,Sculpture (DC 10),Normal,Peut servir de focus divin pour clercs et paladins,,,,Disponible dans les temples.,68e28b3145e71d2ae9f35668,2025-10-05T15:13:53.529000,2025-10-05T15:13:53.529000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Symbole sacré - Argent,Symbole religieux en argent finement travaillé.,,Religieux,Peu commun,Excellente,100,0.5 kg,Argent pur,7 jours,Orfèvrerie (DC 14),Résistant,Peut servir de focus divin pour clercs et paladins,,,,Plus précieux et puissant. Béni par un prêtre.,68e28b3145e71d2ae9f35669,2025-10-05T15:13:53.529000,2025-10-05T15:13:53.529000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Eau bénite (fiole),Eau consacrée efficace contre les morts-vivants.,,Religieux,Commun,Moyenne,25,0.5 kg,"Eau pure, bénédiction",Rituel de 1 heure,Clerc niveau 1+,Fragile,2d6 dégâts radiants contre fiélons et morts-vivants,,,,Créée par les clercs. Vendue dans les temples.,68e28b3145e71d2ae9f3566a,2025-10-05T15:13:53.529000,2025-10-05T15:13:53.529000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Flèches (20),Vingt flèches de bois avec pointes métalliques.,,Arme,Commun,Moyenne,1,0.5 kg,"Bois, plumes, fer",1 jour,Menuiserie (DC 9),Usage unique,Munitions pour arcs,,,,Lot de 20 flèches. Disponibles chez tous les marchands d'armes.,68e28b3145e71d2ae9f3566b,2025-10-05T15:13:53.529000,2025-10-05T15:13:53.529000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Carreaux d'arbalète (20),Vingt carreaux courts et lourds pour arbalète.,,Arme,Commun,Moyenne,1,0.75 kg,"Bois dur, fer",1 jour,Menuiserie (DC 10),Usage unique,Munitions pour arbalètes,,,,Lot de 20 carreaux. Disponibles chez les armuriers.,68e28b3145e71d2ae9f3566c,2025-10-05T15:13:53.529000,2025-10-05T15:13:53.529000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Billes (sac de 1000),Petites billes pour créer terrain difficile.,,Outil,Commun,Moyenne,1,1 kg,"Verre, argile ou pierre",3 jours,Poterie (DC 9),Fragile,"Couvre 3x3 m, crée terrain difficile, peut faire tomber (jet de Dex)",,,,Tactique défensive classique.,68e28b3145e71d2ae9f3566d,2025-10-05T15:13:53.529000,2025-10-05T15:13:53.529000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cloche,Petite cloche en laiton pour alarme.,,Outil,Commun,Moyenne,1,0.5 kg,Laiton,2 jours,Forge (DC 11),Résistant,,,,,Utile pour campements et alarmes.,68e28b3145e71d2ae9f3566e,2025-10-05T15:13:53.529000,2025-10-05T15:13:53.529000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Bougie,Bougie de cire ou de suif pour éclairage faible.,,Outil,Commun,Moyenne,0.01,0.05 kg,"Cire ou suif, mèche",30 minutes,Artisanat (DC 5),Usage unique,"Éclaire 1.5 m, lumière faible 1.5 m supplémentaires, brûle 1 heure",,,,Source de lumière la moins chère.,68e28b3145e71d2ae9f3566f,2025-10-05T15:13:53.529000,2025-10-05T15:13:53.529000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Bâton de cire,Bâton de cire pour cacheter lettres.,,Outil,Commun,Moyenne,0.5,0.05 kg,Cire colorée,1 heure,Artisanat (DC 5),Normal,,,,,Utilisé pour sceller documents officiels.,68e28b3145e71d2ae9f35670,2025-10-05T15:13:53.529000,2025-10-05T15:13:53.529000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Chevalière,Bague gravée pour sceau personnel.,,Bijou,Peu commun,Bonne,5,0.05 kg,Métal gravé,3 jours,Orfèvrerie (DC 13),Résistant,Utilisée pour sceller documents avec cire,,,,Marque d'autorité et d'identité.,68e28b3145e71d2ae9f35671,2025-10-05T15:13:53.529000,2025-10-05T15:13:53.529000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Savon,Pain de savon basique pour se laver.,,Autre,Commun,Moyenne,0.02,0.25 kg,"Graisse animale, cendres",2 jours,Alchimie (DC 8),Normal,,,,,Hygiène basique. Disponible partout.,68e28b3145e71d2ae9f35672,2025-10-05T15:13:53.529000,2025-10-05T15:13:53.529000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Sifflet,Petit sifflet pour signaux.,,Outil,Commun,Moyenne,0.05,0.05 kg,Bois ou métal,1 heure,Menuiserie (DC 8),Normal,Audible jusqu'à 90 m,,,,Utile pour communication ou appeler l'aide.,68e28b3145e71d2ae9f35673,2025-10-05T15:13:53.529000,2025-10-05T15:13:53.529000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Couverture,Couverture en laine épaisse pour dormir au chaud.,,Vêtement,Commun,Moyenne,0.5,1.5 kg,Laine tissée,3 jours,Tissage (DC 9),Normal,,,,,Essentielle pour camper. Disponible partout.,68e28b3145e71d2ae9f35648,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Tente (2 personnes),Tente simple en toile pour 2 personnes.,,Outil,Commun,Moyenne,2,10 kg,"Toile, cordes et piquets",5 jours,Couture (DC 10),Normal,Abrite 2 personnes des intempéries,,,,Indispensable pour les longs voyages.,68e28b3145e71d2ae9f35649,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Kit d'escalade,"Ensemble complet : pitons, marteau, sangles, gants.",,Outil,Commun,Moyenne,25,6 kg,"Métal, cuir, corde",7 jours,Forge (DC 12),Résistant,"Permet de s'ancrer lors de l'escalade, permet aux alliés de grimper sans test",,,,Essentiel pour les régions montagneuses.,68e28b3145e71d2ae9f3564a,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Kit de déguisement,"Cosmétiques, teintures, accessoires pour se déguiser.",,Outil,Commun,Moyenne,25,1.5 kg,"Cosmétiques, tissus, accessoires",10 jours,Artisanat (DC 13),Normal,Permet de créer des déguisements convaincants,,,,Indispensable pour les espions et infiltrateurs.,68e28b3145e71d2ae9f3564b,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Kit de contrefaçon,"Encres, sceaux, papiers pour falsifier documents.",,Outil,Peu commun,Bonne,15,2.5 kg,"Papiers, encres, sceaux de cire",7 jours,Calligraphie (DC 14),Normal,Permet de contrefaire des documents,,,,Utilisé par les faussaires. Illégal dans la plupart des endroits.,68e28b3145e71d2ae9f3564c,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Kit d'herboriste,"Sachets, fioles, outils pour identifier et préparer plantes.",,Outil,Commun,Moyenne,5,1.5 kg,"Fioles, sachets, outils de coupe",3 jours,Artisanat (DC 10),Normal,Maîtrise permet d'identifier plantes et créer remèdes,,,,Utile pour les druides et soigneurs.,68e28b3145e71d2ae9f3564d,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Kit d'empoisonneur,"Fioles, balance, outils pour créer et appliquer poisons.",,Outil,Peu commun,Bonne,50,1 kg,"Verrerie, outils précis, contenants",10 jours,Alchimie (DC 15),Fragile,Permet de créer et identifier poisons,,,,Illégal à posséder dans de nombreuses régions. Utilisé par assassins.,68e28b3145e71d2ae9f3564e,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Kit de guérisseur,"Bandages, attelles, onguents pour soins d'urgence.",,Outil,Commun,Moyenne,5,1.5 kg,"Bandages, herbes médicinales, outils",2 jours,Médecine (DC 10),Normal,"10 utilisations, permet de stabiliser les mourants",,,,Crucial pour tout groupe d'aventuriers. Vendu par apothicaires.,68e28b3145e71d2ae9f3564f,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Outils de voleur,"Crochets, limes, petits miroirs pour crocheter serrures.",,Outil,Commun,Moyenne,25,0.5 kg,"Acier fin, miroirs",7 jours,Serrurerie (DC 14),Normal,Permet de crocheter serrures et désamorcer pièges,,,,Indispensables pour les roublards. Illégaux à posséder sans autorisation.,68e28b3145e71d2ae9f35650,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Outils de forgeron,"Marteaux, tenailles, enclume pour forger le métal.",,Outil,Commun,Moyenne,20,4 kg,Acier et fer,10 jours,Forge (DC 12),Très résistant,Permet de réparer armes et armures métalliques,,,,Lourds mais essentiels pour l'artisanat du métal.,68e28b3145e71d2ae9f35651,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Outils de menuisier,"Scies, rabots, ciseaux pour travailler le bois.",,Outil,Commun,Moyenne,8,3 kg,Acier et bois,5 jours,Menuiserie (DC 11),Résistant,Permet de fabriquer objets en bois et réparer armes en bois,,,,Utiles pour construire et réparer.,68e28b3145e71d2ae9f35652,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Outils de tanneur,"Couteaux, aiguilles, poinçons pour travailler le cuir.",,Outil,Commun,Moyenne,5,2.5 kg,Acier et bois,4 jours,Travail du cuir (DC 10),Résistant,Permet de fabriquer et réparer objets en cuir,,,,Essentiels pour l'entretien des armures légères.,68e28b3145e71d2ae9f35653,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Outils d'alchimiste,"Alambics, fioles, brûleurs pour créer substances alchimiques.",,Outil,Commun,Moyenne,50,4 kg,"Verre, métal, céramique",15 jours,Soufflage de verre (DC 15),Fragile,"Permet de créer acides, alchimiste, feu grégeois, potions",,,,Chers et fragiles. Vendus par alchimistes uniquement.,68e28b3145e71d2ae9f35654,2025-10-05T15:13:53.528000,2025-10-05T15:13:53.528000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
