name,description_text,image_url,size,type,habitat,challenge_rating,armor_class,hit_points,speed,abilities,skills,senses,special_abilities,actions,behavior,diet,domesticable,rideable,exp_value,id,created_date,updated_date,created_by_id,created_by,is_sample,world_id,token_url
Lapin de Garenne,Petit mammifère rapide et craintif. Chair tendre et maigre très appréciée.,,Très petit,Mammifère,"Prairies, forêts claires, collines",0,13,1,12 m,,,"Vision normale, ouïe excellente",,,"Très craintif, court en zigzag",Herbivore,TRUE,FALSE,0,68e2952e0b5bce32ea0851b5,2025-10-05T15:56:30.542000,2025-10-05T15:56:30.542000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Cerf Noble,Majestueux cervidé des forêts. La venaison est une viande noble.,,Grand,Mammifère,"Forêts tempérées, montagnes",0.125,13,13,15 m,,,"Vision normale, odorat excellent",,,"Méfiant, grégaire, noble",Herbivore,FALSE,FALSE,25,68e2952e0b5bce32ea0851b6,2025-10-05T15:56:30.542000,2025-10-05T15:56:30.542000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Sanglier Furieux,Cochon sauvage agressif et dangereux. Chair savoureuse mais difficile à chasser.,,Moyen,Mammifère,"Forêts denses, sous-bois",0.25,11,11,12 m,,,Odorat excellent,,,"Agressif si dérangé, charge",Omnivore,FALSE,FALSE,50,68e2952e0b5bce32ea0851b7,2025-10-05T15:56:30.542000,2025-10-05T15:56:30.542000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Faisan Doré,Oiseau au plumage éclatant. Gibier raffiné des chasses nobles.,,Très petit,Oiseau,"Forêts claires, lisières",0,12,2,"6 m, vol 18 m",,,Vision perçante,,,"Méfiant, beau plumage",Omnivore,TRUE,FALSE,0,68e2952e0b5bce32ea0851b8,2025-10-05T15:56:30.542000,2025-10-05T15:56:30.542000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Huître Perlière Géante,"Énorme mollusque bivalve. Peut contenir des perles précieuses, chair délicate.",,Petit,Mollusque,Fonds marins peu profonds,0,14,5,0 m,,,Vision aveugle 3 m,,,"Immobile, filtre l'eau",Filtreur,FALSE,FALSE,0,68e2952e0b5bce32ea0851b9,2025-10-05T15:56:30.542000,2025-10-05T15:56:30.542000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Langouste Rouge,Grand crustacé sans pinces. Chair exceptionnellement fine et prisée.,,Petit,Crustacé,Fonds rocheux marins,0,13,3,"3 m, nage 9 m",,,Vision sombre 9 m,,,"Nocturne, se cache le jour",Carnivore,FALSE,FALSE,0,68e2952e0b5bce32ea0851ba,2025-10-05T15:56:30.542000,2025-10-05T15:56:30.542000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Oie Grasse,Oie domestique élevée pour son foie gras. Volatile bruyant mais délicieux.,,Petit,Oiseau,"Fermes, basses-cours",0,10,3,"6 m, vol 12 m, nage 9 m",,,Vision normale,,,"Bruyant, territorial, agressif si nid",Omnivore,TRUE,FALSE,10,68e2952e0b5bce32ea0851bb,2025-10-05T15:56:30.542000,2025-10-05T15:56:30.542000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Saumon Royal,"Poisson migrateur impressionnant. Chair rose délicate, remonte les rivières.",,Petit,Poisson,Océans et rivières (migration),0,12,3,Nage 15 m,,,"Vision aquatique, odorat excellent",,,Instinct de migration puissant,Carnivore,FALSE,FALSE,0,68e2952e0b5bce32ea0851bc,2025-10-05T15:56:30.542000,2025-10-05T15:56:30.542000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Truite Argentée,Poisson d'eau douce aux écailles brillantes comme l'argent. Chair délicate prisée.,,Très petit,Poisson,"Rivières claires, lacs de montagne",0,13,1,Nage 12 m,,,Vision aquatique,,,"Craintif, nage en bancs",Insectivore,FALSE,FALSE,0,68e2942fdf16a667f1f97030,2025-10-05T15:52:15.984000,2025-10-05T15:52:15.984000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
Cochon Noir,Porc domestique robuste à la chair savoureuse. Élevé pour la viande et le lard.,,Moyen,Mammifère,"Fermes, villages",0,9,11,9 m,,,Odorat développé,,,"Docile, glouton",Omnivore,TRUE,FALSE,10,68e2942fdf16a667f1f97031,2025-10-05T15:52:15.984000,2025-10-05T15:52:15.984000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,,
