world_id,name,description,image_url,ability_score_increase,age,alignment,size,speed,languages,traits,subraces,id,created_date,updated_date,created_by_id,created_by,is_sample
690f88707ca28b390273316f,Humains (Véh'ranii),"Les humains d'Ahr'n se nomment eux-mêmes les Véh'ranii, 'les voyageurs' dans leur langue ancestrale. Représentant 30% de la population, ils sont répandus sur tous les continents. Adaptés et résilients, les Véh'ranii ont fondé de grands royaumes et sont connus pour leur diplomatie et leur capacité à unir différentes races. Leur espérance de vie moyenne est de 80-100 ans.",,,Les Véh'ranii atteignent l'âge adulte vers 18 ans et vivent jusqu'à 100 ans,Les Véh'ranii tendent vers tous les alignements,Moyen,9,,,,690f895f7ca28b39027331fc,2025-11-08T18:18:07.900000,2025-11-09T13:20:04.036000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f88707ca28b390273316f,Syl'variens,"Les Syl'variens sont des êtres élancés dont la peau scintille doucement de reflets cristallins. Originaires des forêts cristallines, ils vivent en symbiose avec les cristaux vivants. Leur culture valorise l'harmonie et la contemplation. Ils peuvent vivre jusqu'à 300 ans et ont une affinité naturelle avec la magie des cristaux.",,,"Maturité à 30 ans, espérance de vie de 300 ans",Tendance vers le Bien et la Neutralité,Moyen,9,,,,690f895f7ca28b39027331fd,2025-11-08T18:18:07.900000,2025-11-09T13:26:28.246000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f88707ca28b390273316f,Khar'dumii,"Habitants des déserts de verre, les Khar'dumii sont des humanoïdes robustes avec une peau dorée et des yeux amber. Nomades et fiers, ils excellent dans la survie en milieu hostile. Leur culture est basée sur l'honneur et les serments de sang. Espérance de vie : 120 ans.",,,"Maturité à 16 ans, vivent jusqu'à 120 ans",Tendance Loyale,Moyen,10,,,,690f895f7ca28b39027331fe,2025-11-08T18:18:07.900000,2025-11-09T13:21:31.171000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f88707ca28b390273316f,Zeph'yniens,"Les Zeph'yniens sont légers et gracieux, avec des os creux et des membranes sous les bras leur permettant de planer. Habitants des cités flottantes, ils ont une culture aérienne centrée sur la liberté et l'exploration. Vie jusqu'à 150 ans.",,,"Maturité à 20 ans, espérance de vie de 150 ans",Tendance Chaotique Bon,Moyen,9,,,,690f895f7ca28b39027331ff,2025-11-08T18:18:07.900000,2025-11-09T13:29:06.252000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f88707ca28b390273316f,Thal'moriens,"Amphibies et mystérieux, les Thal'moriens habitent les profondeurs marines. Leur peau est recouverte d'écailles bioluminescentes. Gardiens d'anciens secrets abÿssaux, ils sont méfiants envers les terriens. Vie jusqu'à 200 ans.",,,"Maturité à 25 ans, vivent jusqu'à 200 ans",Tendance Neutre,Moyen,7,,,,690f895f7ca28b3902733200,2025-11-08T18:18:07.900000,2025-11-09T13:27:02.476000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f88707ca28b390273316f,Vor'kanii,"Grands et musclés, les Vor'kanii ont une peau grise pierruse et des cornes imposantes. Guerriers nés des montagnes du Nord, ils valorisent la force et l'honneur au combat. Vie jusqu'à 150 ans.",,,"Maturité à 18 ans, espérance de vie de 150 ans",Tendance Loyale Neutre,Grand,9,,,,690f895f7ca28b3902733201,2025-11-08T18:18:07.900000,2025-11-08T18:18:07.900000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f88707ca28b390273316f,Lys'endar,"Les Lys'endar sont de petits êtres féeriques avec des ailes de papillon luminescentes. Espiègles et magiques, ils habitent les clairières enchantées. Leur société est basée sur la musique et la danse. Vie jusqu'à 250 ans.",,,"Maturité à 15 ans, vivent jusqu'à 250 ans",Tendance Chaotique Bon,Petit,7,,,,690f895f7ca28b3902733202,2025-11-08T18:18:07.900000,2025-11-09T13:22:15.680000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f88707ca28b390273316f,Nyr'thalan,"Les Nyr'thalan sont des humanoïdes nocturnes avec une peau d'obsidienne et des yeux argentés. Maîtres de l'ombre et de la furtivité, ils vivent dans les cavernes profondes. Culture basée sur le secret et l'information. Vie jusqu'à 180 ans.",,,"Maturité à 22 ans, espérance de vie de 180 ans",Tendance Neutre,Moyen,9,,,,690f895f7ca28b3902733203,2025-11-08T18:18:07.900000,2025-11-09T13:24:16.866000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f88707ca28b390273316f,Qyr'meshi,Les Qyr'meshi sont des insectoïdes intelligents avec une carapace chatoyante et quatre bras. Société collective basée sur la ruche et l'efficacité. Excellents artisans et architectes. Vie jusqu'à 60 ans mais très prolifiques.,,,"Maturité à 5 ans, vivent jusqu'à 60 ans",Tendance Loyale Neutre,Moyen,8,,,,690f895f7ca28b3902733204,2025-11-08T18:18:07.900000,2025-11-09T13:25:01.630000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f88707ca28b390273316f,Dra'khen,"Descendants lointains des dragons, les Dra'khen sont imposants avec des écailles colorées et une queue puissante. Fières et territoriaux, ils valorisent l'accumulation de richesses et la connaissance. Vie jusqu'à 400 ans.",,,"Maturité à 40 ans, espérance de vie de 400 ans",Variable selon la couleur des écailles,Grand,8,,,,690f895f7ca28b3902733205,2025-11-08T18:18:07.900000,2025-11-09T13:19:26.353000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
