name,description_text,image_url,type,rarity,requires_attunement,attunement_requirements,magical_properties,bonus,charges,curse,sentient,personality,creator,creation_method,history,market_value,weight,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
Épée Longue +1,"Une épée longue finement forgée, dont la lame brille d'une lueur argentée. Des runes anciennes courent le long de sa garde. Elle semble parfaitement équilibrée et sa lame ne se ternit jamais.",,Arme,Peu commun,FALSE,,,+1,,,FALSE,,Forgeron enchanteur de niveau moyen,"Forge avec acier de qualité supérieure, trempé dans l'essence d'éther et enchant pendant la pleine lune. Nécessite le sort Arme Magique lancé 10 fois pendant la fabrication.",,1500,1.5 kg,Recette: Épée longue normale (15 po) + Essence d'Éther (500 po) + Fleur de Lune Argentée x2 (50 po) + Cristal de Mana Pur (1000 po) + Sort Arme Magique x10. Temps: 15 jours.,68e28de1db7453d9d0337cae,2025-10-05T15:25:21.732000,2025-10-05T15:25:21.732000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Épée Longue +2,Une épée longue exceptionnelle dont la lame émet une lumière bleutée constante. Les enchantements sont si puissants qu'on peut sentir la magie vibrer dans l'air autour d'elle.,,Arme,Rare,FALSE,,,+2,,,FALSE,,,Requiert une Épée Longue +1 comme base. Forge avec Poussière de Mithril et Cristaux de Mana supplémentaires. Sort Arme Magique amélioré lancé 20 fois.,,4000,1.4 kg,Recette: Épée Longue +1 (1500 po) + Poussière de Mithril (5000 po) + Cristal de Mana Pur x2 (2000 po) + Essence d'Éther x2 (1000 po) + Sort Arme Magique x20. Temps: 30 jours.,68e28de1db7453d9d0337caf,2025-10-05T15:25:21.732000,2025-10-05T15:25:21.732000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Épée Longue +3,"Une lame légendaire dont la perfection magique est presque divine. La lame semble découper l'air lui-même, et sa lumière argentée pulse au rythme du cœur de son porteur.",,Arme,Très rare,FALSE,,,+3,,,FALSE,,,Requiert une Épée Longue +2. Forge avec Lingot d'Adamantium et enchantements de maître. Sort Arme Magique Suprême x30.,,12000,1.3 kg,Recette: Épée Longue +2 (4000 po) + Lingot d'Adamantium (10000 po) + Cristal de Mana Pur x3 (3000 po) + Essence Céleste (3000 po) + Poussière de Mithril x2 (10000 po). Temps: 60 jours.,68e28de1db7453d9d0337cb0,2025-10-05T15:25:21.732000,2025-10-05T15:25:21.732000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Épée de Feu (Flamelangue),"Une magnifique épée longue dont la lame peut s'enflammer sur commande. Quand activée, elle brûle d'un feu magique qui ne consume pas son porteur. Les flammes dansent le long de la lame, projetant une lumière chaude orangée.",,Arme,Rare,TRUE,,,+1 (quand enflammée),,,FALSE,,,"Épée longue trempée dans le Sang de Dragon rouge, forgée avec des Roses de Feu et enchantée avec le sort Flamme Éternelle.",,5000,1.5 kg,"Recette: Épée Longue +1 (1500 po) + Sang de Dragon rouge (10000 po, partagé) + Rose de Feu x5 (225 po) + Rubis (500 po) + Sort Sphère de Feu x5. Temps: 20 jours.",68e28de1db7453d9d0337cb1,2025-10-05T15:25:21.732000,2025-10-05T15:25:21.732000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Épée de Givre,"Une épée dont la lame est perpétuellement couverte de givre scintillant. Des volutes de brume froide s'en échappent constamment. Au toucher, elle est glaciale mais n'endommage pas son porteur harmonisé.",,Arme,Très rare,TRUE,Nécessite harmonisation,,+1,,,FALSE,,,Forgée avec Fragment d'Étoile Morte et trempée dans l'eau d'un glacier millénaire. Enchantée avec sorts de froid.,,8000,1.5 kg,Recette: Épée Longue +1 (1500 po) + Fragment d'Étoile Morte (8000 po) + Dent de Requin des Abysses x3 (75 po) + Diamant (1000 po) + Sort Tempête de Grêle x3. Temps: 25 jours.,68e28de1db7453d9d0337cb2,2025-10-05T15:25:21.732000,2025-10-05T15:25:21.732000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Dague +1,"Une dague élégante et bien équilibrée, avec une lame qui ne perd jamais son tranchant.",,Arme,Peu commun,FALSE,,,+1,,,FALSE,,,Dague normale enchantée avec Essence d'Éther et poudre de Mithril.,,1000,0.5 kg,"Recette: Dague normale (2 po) + Essence d'Éther (500 po) + Poussière de Mithril (5000 po, partagée) + Cristal de Mana (1000 po). Temps: 10 jours.",68e28de1db7453d9d0337cb3,2025-10-05T15:25:21.732000,2025-10-05T15:25:21.732000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Arc Long +1,Un arc magnifiquement courbé dont le bois semble vivant. Les flèches tirées avec cet arc volent plus loin et plus droit que la normale.,,Arme,Peu commun,FALSE,,,+1,,,FALSE,,,Arc façonné dans du bois d'Yggdrasil et cordé avec cheveux d'elfe. Enchantements de précision.,,1500,1 kg,"Recette: Arc long normal (50 po) + Essence d'Éther (500 po) + Plume de Phénix (15000 po, partagée) + Cristal de Mana (1000 po). Temps: 12 jours.",68e28de1db7453d9d0337cb4,2025-10-05T15:25:21.732000,2025-10-05T15:25:21.732000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Armure de Cuir +1,"Une armure de cuir souple et résistante, enchantée pour offrir une protection supérieure sans gêner les mouvements.",,Armure,Peu commun,FALSE,,,+1,,,FALSE,,,Cuir traité avec huiles magiques et renforcé par enchantements.,,1500,5 kg,Recette: Armure de cuir normale (10 po) + Essence d'Éther (500 po) + Écaille de Dragon x5 (200 po) + Sort Armure du Mage x10. Temps: 15 jours.,68e28de1db7453d9d0337cb5,2025-10-05T15:25:21.732000,2025-10-05T15:25:21.732000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cotte de Mailles +1,Une cotte de mailles dont chaque anneau a été individuellement enchanté. Plus légère que la normale malgré sa résistance accrue.,,Armure,Rare,FALSE,,,+1,,,FALSE,,,"Cotte de mailles forgée avec anneaux en Mithril, enchantée anneau par anneau.",,3000,22 kg,Recette: Cotte de mailles normale (75 po) + Poussière de Mithril x2 (10000 po) + Essence d'Éther x2 (1000 po) + Sort Protection x15. Temps: 25 jours.,68e28de1db7453d9d0337cb6,2025-10-05T15:25:21.732000,2025-10-05T15:25:21.732000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Harnois +1,"Une armure de plaques magnifiquement ouvragée, brillant d'un éclat surnaturel. Légère malgré son apparence massive.",,Armure,Rare,FALSE,,,+1,,,FALSE,,,"Armure de plaques forgée avec Mithril et Adamantium, enchantée par un maître forgeron.",,6000,27 kg,Recette: Harnois normal (1500 po) + Lingot d'Adamantium (10000 po) + Poussière de Mithril x3 (15000 po) + Écaille de Dragon Ancien (15000 po) + Sort Peau de Pierre x20. Temps: 60 jours.,68e28de1db7453d9d0337cb7,2025-10-05T15:25:21.732000,2025-10-05T15:25:21.732000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
